"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","year"
"38998",47,"admin.","married","university.degree","no","yes","yes","cellular","dec","mon",67,5,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38999",48,"admin.","married","university.degree","no","yes","no","cellular","dec","mon",347,4,6,2,"success",-3,92.713,-33,0.717,5023.5,"no",2010
"39000",50,"technician","married","high.school","no","no","no","cellular","dec","mon",620,3,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"yes",2010
"39001",38,"technician","single","university.degree","no","yes","no","cellular","dec","mon",329,2,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"yes",2010
"39002",73,"retired","married","basic.4y","no","no","no","cellular","dec","mon",245,5,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"39003",38,"unemployed","single","high.school","no","yes","no","cellular","dec","mon",1002,3,10,1,"success",-3,92.713,-33,0.717,5023.5,"no",2010
"39004",54,"admin.","divorced","university.degree","no","no","no","cellular","dec","wed",288,7,6,2,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39005",42,"services","married","university.degree","no","no","no","cellular","dec","wed",179,1,6,1,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39006",29,"student","single","high.school","no","no","no","cellular","dec","wed",390,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39007",64,"retired","married","basic.4y","no","unknown","unknown","telephone","dec","wed",137,8,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39008",56,"management","married","professional.course","no","no","no","cellular","dec","wed",124,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39009",30,"student","single","unknown","no","no","no","cellular","dec","wed",343,1,4,2,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39010",31,"self-employed","single","university.degree","no","no","no","cellular","dec","wed",854,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39011",32,"admin.","married","high.school","no","yes","yes","cellular","dec","wed",479,2,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39012",86,"retired","married","professional.course","no","no","no","telephone","dec","wed",343,2,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39013",41,"self-employed","married","university.degree","no","unknown","unknown","telephone","dec","wed",595,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39014",26,"admin.","single","university.degree","no","yes","no","telephone","dec","wed",395,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39015",65,"management","married","unknown","no","no","no","cellular","dec","wed",456,2,9,1,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39016",32,"student","married","high.school","no","yes","no","telephone","dec","wed",87,5,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39017",32,"student","married","high.school","no","yes","no","telephone","dec","wed",135,3,999,1,"failure",-3,92.713,-33,0.715,5023.5,"no",2010
"39018",70,"retired","divorced","basic.9y","no","no","no","telephone","dec","wed",220,2,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39019",65,"management","married","unknown","no","yes","no","telephone","dec","wed",207,3,999,1,"failure",-3,92.713,-33,0.715,5023.5,"yes",2010
"39020",37,"management","married","unknown","no","no","no","cellular","dec","wed",149,3,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39021",64,"housemaid","married","basic.4y","no","yes","yes","cellular","dec","thu",336,5,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39022",56,"retired","married","basic.4y","no","no","no","cellular","dec","thu",429,1,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39023",51,"unemployed","divorced","high.school","no","no","no","cellular","dec","thu",112,2,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"no",2010
"39024",55,"admin.","married","professional.course","no","yes","no","cellular","dec","thu",798,1,9,2,"success",-3,92.713,-33,0.714,5023.5,"yes",2010
"39025",29,"unemployed","married","basic.4y","no","no","no","telephone","dec","thu",805,1,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39026",71,"retired","married","unknown","no","yes","yes","cellular","dec","thu",182,1,999,1,"failure",-3,92.713,-33,0.714,5023.5,"no",2010
"39027",64,"housemaid","married","basic.4y","no","no","no","cellular","dec","thu",422,1,6,2,"success",-3,92.713,-33,0.714,5023.5,"yes",2010
"39028",64,"housemaid","married","basic.4y","no","no","no","telephone","dec","thu",208,1,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"no",2010
"39029",64,"housemaid","married","basic.4y","no","no","no","cellular","dec","thu",232,1,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39030",64,"housemaid","married","basic.4y","no","no","yes","cellular","dec","thu",501,1,6,1,"success",-3,92.713,-33,0.714,5023.5,"no",2010
"39031",56,"retired","married","basic.4y","no","no","no","cellular","dec","thu",582,4,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39032",62,"housemaid","married","professional.course","no","yes","no","cellular","dec","fri",141,2,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39033",81,"retired","divorced","basic.4y","no","yes","no","cellular","dec","fri",166,3,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",2010
"39034",61,"admin.","married","university.degree","no","no","no","cellular","dec","mon",263,1,999,1,"failure",-3,92.713,-33,0.715,5023.5,"no",2010
"39035",57,"admin.","single","high.school","no","no","no","cellular","dec","mon",388,1,6,2,"success",-3,92.713,-33,0.715,5023.5,"no",2010
"39036",54,"technician","divorced","professional.course","no","yes","no","cellular","dec","mon",352,1,6,1,"success",-3,92.713,-33,0.715,5023.5,"no",2010
"39037",18,"student","single","basic.9y","no","yes","no","cellular","dec","mon",269,1,999,1,"failure",-3,92.713,-33,0.715,5023.5,"no",2010
"39038",48,"technician","married","professional.course","no","yes","yes","cellular","dec","mon",122,3,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39039",74,"retired","divorced","high.school","no","yes","yes","telephone","dec","mon",88,6,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39040",18,"student","single","basic.9y","no","yes","no","cellular","dec","mon",446,2,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39041",63,"technician","married","unknown","no","yes","no","cellular","dec","mon",510,2,999,1,"failure",-3,92.713,-33,0.715,5023.5,"yes",2010
"39042",85,"retired","divorced","basic.4y","unknown","yes","no","cellular","dec","mon",321,3,6,1,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39043",84,"retired","married","high.school","no","no","no","cellular","dec","tue",351,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39044",85,"retired","divorced","basic.4y","unknown","yes","no","telephone","dec","tue",150,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39045",59,"retired","married","professional.course","no","no","no","telephone","dec","tue",476,1,999,1,"failure",-3,92.713,-33,0.715,5023.5,"yes",2010
"39046",46,"admin.","single","university.degree","no","yes","yes","cellular","dec","tue",324,2,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39047",56,"blue-collar","married","basic.4y","unknown","yes","no","cellular","dec","tue",280,3,6,1,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39048",43,"admin.","married","high.school","no","yes","no","cellular","dec","tue",72,4,6,1,"success",-3,92.713,-33,0.715,5023.5,"no",2010
"39049",55,"services","married","basic.9y","no","yes","no","cellular","dec","wed",314,1,6,1,"success",-3,92.713,-33,0.715,5023.5,"yes",2010
"39050",70,"retired","married","basic.4y","no","yes","no","cellular","dec","wed",325,1,999,2,"failure",-3,92.713,-33,0.715,5023.5,"no",2010
"39051",56,"admin.","divorced","unknown","no","no","no","cellular","dec","wed",205,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no",2010
"39052",64,"retired","married","high.school","no","yes","no","cellular","dec","wed",354,1,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39053",70,"retired","married","basic.4y","no","no","no","cellular","dec","wed",546,2,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"yes",2010
"39054",47,"housemaid","married","basic.9y","no","yes","no","cellular","dec","thu",155,1,999,1,"failure",-3,92.713,-33,0.712,5023.5,"no",2010
"39055",68,"management","married","basic.9y","no","yes","no","cellular","dec","thu",97,1,999,2,"failure",-3,92.713,-33,0.712,5023.5,"no",2010
"39056",76,"retired","married","university.degree","no","no","no","cellular","dec","thu",103,1,999,1,"failure",-3,92.713,-33,0.712,5023.5,"no",2010
"39057",68,"technician","married","unknown","no","no","no","cellular","dec","thu",141,4,999,0,"nonexistent",-3,92.713,-33,0.712,5023.5,"no",2010
"39058",18,"student","single","basic.9y","no","no","no","cellular","dec","thu",412,2,999,0,"nonexistent",-3,92.713,-33,0.712,5023.5,"yes",2010
"39059",76,"retired","married","university.degree","no","yes","yes","cellular","dec","thu",330,2,4,2,"success",-3,92.713,-33,0.712,5023.5,"yes",2010
"39060",19,"student","single","high.school","no","yes","no","cellular","dec","thu",110,2,999,3,"failure",-3,92.713,-33,0.712,5023.5,"no",2010
"39061",24,"student","single","high.school","no","yes","no","cellular","dec","thu",726,3,999,0,"nonexistent",-3,92.713,-33,0.712,5023.5,"yes",2010
"39062",76,"retired","married","university.degree","no","no","yes","cellular","dec","thu",324,3,4,2,"success",-3,92.713,-33,0.712,5023.5,"yes",2010
"39063",76,"retired","married","university.degree","no","unknown","unknown","cellular","dec","thu",184,6,999,1,"failure",-3,92.713,-33,0.712,5023.5,"no",2010
"39064",38,"unemployed","single","high.school","no","yes","no","cellular","dec","fri",170,4,6,1,"success",-3,92.713,-33,0.71,5023.5,"yes",2010
"39065",28,"admin.","single","university.degree","no","yes","yes","cellular","dec","fri",454,6,999,1,"failure",-3,92.713,-33,0.71,5023.5,"no",2010
"39066",21,"student","single","university.degree","no","yes","no","cellular","dec","fri",379,3,6,1,"success",-3,92.713,-33,0.71,5023.5,"yes",2010
"39067",52,"technician","married","high.school","no","no","no","cellular","dec","fri",406,1,999,1,"failure",-3,92.713,-33,0.71,5023.5,"yes",2010
"39068",23,"blue-collar","single","high.school","no","yes","no","cellular","dec","fri",248,6,999,0,"nonexistent",-3,92.713,-33,0.71,5023.5,"no",2010
"39069",30,"self-employed","single","university.degree","no","yes","yes","cellular","dec","fri",127,2,6,1,"success",-3,92.713,-33,0.71,5023.5,"no",2010
"39070",55,"entrepreneur","divorced","basic.9y","no","no","no","cellular","dec","fri",415,7,999,0,"nonexistent",-3,92.713,-33,0.71,5023.5,"yes",2010
"39071",36,"admin.","married","university.degree","no","yes","no","telephone","dec","fri",52,4,999,0,"nonexistent",-3,92.713,-33,0.71,5023.5,"no",2010
"39072",42,"admin.","married","university.degree","no","no","no","telephone","dec","fri",104,5,6,1,"success",-3,92.713,-33,0.71,5023.5,"no",2010
"39073",29,"admin.","married","university.degree","no","yes","no","cellular","dec","mon",116,2,999,1,"failure",-3,92.713,-33,0.709,5023.5,"no",2010
"39074",26,"student","single","university.degree","no","no","no","telephone","dec","mon",796,1,999,0,"nonexistent",-3,92.713,-33,0.709,5023.5,"no",2010
"39075",43,"management","married","unknown","no","yes","no","telephone","dec","mon",2062,2,8,1,"success",-3,92.713,-33,0.709,5023.5,"yes",2010
"39076",29,"admin.","married","university.degree","no","no","no","cellular","dec","mon",77,3,999,1,"failure",-3,92.713,-33,0.709,5023.5,"no",2010
"39077",29,"technician","single","university.degree","no","yes","no","cellular","dec","mon",264,2,999,0,"nonexistent",-3,92.713,-33,0.709,5023.5,"yes",2010
"39078",28,"unemployed","single","high.school","no","yes","no","cellular","dec","mon",94,3,6,3,"success",-3,92.713,-33,0.709,5023.5,"no",2010
"39079",31,"admin.","married","professional.course","no","no","yes","cellular","dec","mon",367,2,999,1,"failure",-3,92.713,-33,0.709,5023.5,"yes",2010
"39080",51,"technician","married","professional.course","no","no","yes","cellular","dec","mon",267,2,999,0,"nonexistent",-3,92.713,-33,0.709,5023.5,"yes",2010
"39081",23,"student","single","basic.9y","no","yes","no","cellular","dec","tue",321,2,999,0,"nonexistent",-3,92.713,-33,0.708,5023.5,"yes",2010
"39082",27,"student","single","high.school","no","yes","no","cellular","dec","tue",396,1,999,0,"nonexistent",-3,92.713,-33,0.708,5023.5,"no",2010
"39083",23,"student","single","basic.9y","no","yes","no","cellular","dec","tue",256,2,999,0,"nonexistent",-3,92.713,-33,0.708,5023.5,"yes",2010
"39084",50,"admin.","married","university.degree","no","yes","no","cellular","dec","tue",410,3,999,0,"nonexistent",-3,92.713,-33,0.708,5023.5,"yes",2010
"39085",27,"technician","single","university.degree","no","yes","no","cellular","dec","tue",305,3,10,1,"success",-3,92.713,-33,0.708,5023.5,"yes",2010
"39086",23,"student","single","basic.9y","no","yes","no","cellular","dec","tue",158,2,999,0,"nonexistent",-3,92.713,-33,0.708,5023.5,"no",2010
"39087",62,"retired","married","university.degree","no","yes","no","cellular","dec","wed",282,1,6,1,"success",-3,92.713,-33,0.706,5023.5,"yes",2010
"39088",28,"student","single","unknown","no","yes","no","cellular","dec","wed",102,2,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"no",2010
"39089",57,"admin.","married","unknown","no","yes","no","cellular","dec","wed",391,2,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"yes",2010
"39090",41,"admin.","married","university.degree","no","yes","no","cellular","dec","thu",422,2,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"yes",2010
"39091",35,"blue-collar","married","basic.9y","no","no","yes","cellular","dec","thu",520,3,999,2,"failure",-3,92.713,-33,0.707,5023.5,"no",2010
"39092",41,"admin.","married","university.degree","no","no","no","cellular","dec","thu",213,1,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"yes",2010
"39093",41,"admin.","married","university.degree","no","yes","no","cellular","dec","thu",500,1,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"yes",2010
"39094",76,"retired","divorced","professional.course","no","yes","no","cellular","dec","thu",956,1,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"no",2010
"39095",35,"blue-collar","married","basic.9y","no","yes","no","cellular","dec","thu",105,1,4,3,"success",-3,92.713,-33,0.707,5023.5,"no",2010
"39096",45,"admin.","married","university.degree","no","no","no","cellular","dec","thu",150,2,6,1,"success",-3,92.713,-33,0.707,5023.5,"yes",2010
"39097",35,"unemployed","married","professional.course","no","yes","yes","cellular","dec","thu",62,3,999,1,"failure",-3,92.713,-33,0.707,5023.5,"no",2010
"39098",41,"admin.","single","university.degree","no","yes","yes","telephone","dec","thu",273,1,999,1,"failure",-3,92.713,-33,0.707,5023.5,"no",2010
"39099",46,"technician","married","professional.course","no","yes","no","telephone","dec","mon",679,1,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"yes",2010
"39100",22,"technician","single","professional.course","no","yes","no","cellular","dec","mon",1141,1,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"yes",2010
"39101",63,"retired","married","professional.course","no","no","no","cellular","dec","mon",83,4,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"no",2010
"39102",59,"self-employed","married","university.degree","no","no","no","cellular","dec","mon",193,1,999,1,"failure",-3,92.713,-33,0.706,5023.5,"no",2010
"39103",53,"admin.","married","university.degree","no","yes","yes","cellular","dec","mon",433,1,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"no",2010
"39104",37,"admin.","married","university.degree","no","no","yes","cellular","dec","mon",206,2,6,1,"success",-3,92.713,-33,0.706,5023.5,"yes",2010
"39105",35,"unemployed","married","professional.course","no","yes","no","cellular","dec","mon",315,1,6,1,"success",-3,92.713,-33,0.706,5023.5,"yes",2010
"39106",39,"unemployed","single","university.degree","no","yes","no","cellular","dec","mon",387,1,6,2,"success",-3,92.713,-33,0.706,5023.5,"yes",2010
"39107",53,"admin.","married","university.degree","no","yes","yes","telephone","dec","mon",824,1,6,2,"success",-3,92.713,-33,0.706,5023.5,"yes",2010
"39108",30,"student","single","university.degree","no","yes","no","cellular","dec","mon",256,1,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"no",2010
"39109",46,"unknown","single","unknown","unknown","yes","no","cellular","dec","mon",1472,1,6,1,"success",-3,92.713,-33,0.706,5023.5,"no",2010
"39110",63,"retired","married","professional.course","no","no","no","cellular","dec","mon",137,1,999,1,"failure",-3,92.713,-33,0.706,5023.5,"no",2010
"39111",32,"self-employed","single","university.degree","no","yes","no","cellular","dec","mon",205,4,999,1,"failure",-3,92.713,-33,0.706,5023.5,"yes",2010
"39112",35,"management","divorced","university.degree","no","no","no","cellular","dec","mon",473,2,999,1,"failure",-3,92.713,-33,0.706,5023.5,"yes",2010
"39113",40,"self-employed","married","university.degree","no","no","yes","cellular","dec","mon",893,1,999,0,"nonexistent",-3,92.713,-33,0.706,5023.5,"yes",2010
"39114",34,"admin.","married","university.degree","no","yes","no","cellular","dec","tue",195,2,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"no",2010
"39115",29,"management","married","university.degree","no","yes","no","telephone","dec","tue",207,4,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"no",2010
"39116",73,"retired","divorced","high.school","no","yes","no","cellular","dec","tue",284,1,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"yes",2010
"39117",43,"blue-collar","married","basic.9y","no","yes","no","cellular","dec","tue",689,2,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"yes",2010
"39118",26,"technician","single","university.degree","no","yes","no","cellular","dec","tue",296,1,5,1,"success",-3,92.713,-33,0.707,5023.5,"yes",2010
"39119",27,"technician","single","university.degree","no","yes","no","cellular","dec","tue",1370,3,6,2,"success",-3,92.713,-33,0.707,5023.5,"yes",2010
"39120",32,"admin.","single","university.degree","no","yes","no","cellular","dec","tue",449,2,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"yes",2010
"39121",34,"admin.","married","university.degree","no","no","yes","cellular","dec","tue",196,2,6,2,"success",-3,92.713,-33,0.707,5023.5,"yes",2010
"39122",32,"admin.","single","university.degree","no","yes","no","cellular","dec","tue",215,2,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"no",2010
"39123",27,"technician","single","university.degree","no","yes","no","cellular","dec","tue",109,1,999,1,"failure",-3,92.713,-33,0.707,5023.5,"no",2010
"39124",35,"admin.","married","university.degree","no","no","no","cellular","dec","tue",554,1,999,0,"nonexistent",-3,92.713,-33,0.707,5023.5,"no",2010
"39125",73,"retired","divorced","high.school","no","no","yes","cellular","dec","tue",63,3,6,2,"success",-3,92.713,-33,0.707,5023.5,"yes",2010
"39126",51,"blue-collar","married","professional.course","no","yes","no","cellular","dec","wed",241,3,999,0,"nonexistent",-3,92.713,-33,0.7,5023.5,"yes",2010
"39127",31,"student","married","high.school","no","yes","no","cellular","dec","wed",158,3,999,0,"nonexistent",-3,92.713,-33,0.7,5023.5,"no",2010
"39128",39,"admin.","married","high.school","no","yes","no","cellular","dec","wed",110,3,999,1,"failure",-3,92.713,-33,0.7,5023.5,"no",2010
"39129",59,"management","married","university.degree","no","no","no","cellular","dec","thu",112,4,999,1,"failure",-3,92.713,-33,0.7,5023.5,"no",2010
"39130",59,"management","married","university.degree","no","yes","no","cellular","dec","thu",646,3,6,1,"success",-3,92.713,-33,0.7,5023.5,"no",2010
"39131",39,"admin.","single","university.degree","no","yes","no","telephone","mar","mon",229,1,999,1,"failure",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39132",60,"technician","married","university.degree","no","yes","no","telephone","mar","mon",10,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"no",2010
"39133",30,"blue-collar","married","high.school","no","yes","no","telephone","mar","tue",904,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39134",78,"retired","divorced","professional.course","no","yes","no","cellular","mar","tue",591,1,999,1,"failure",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39135",66,"retired","married","basic.4y","no","yes","no","cellular","mar","tue",229,1,6,1,"success",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39136",66,"retired","married","professional.course","no","no","yes","cellular","mar","tue",525,1,21,2,"failure",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39137",31,"admin.","divorced","professional.course","no","yes","no","cellular","mar","tue",107,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"no",2010
"39138",30,"blue-collar","married","high.school","no","no","no","cellular","mar","tue",658,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39139",30,"technician","married","professional.course","no","yes","no","cellular","mar","tue",368,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39140",30,"technician","married","professional.course","no","yes","yes","cellular","mar","tue",147,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"no",2010
"39141",27,"technician","married","professional.course","no","no","yes","telephone","mar","tue",18,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"no",2010
"39142",30,"technician","married","professional.course","no","yes","no","cellular","mar","tue",105,1,999,1,"failure",-1.8,93.369,-34.8,0.655,5008.7,"no",2010
"39143",31,"admin.","married","university.degree","no","unknown","unknown","cellular","mar","tue",207,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
"39144",66,"retired","married","professional.course","no","no","no","cellular","mar","tue",328,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.655,5008.7,"no",2010
"39145",66,"retired","married","professional.course","no","no","no","cellular","mar","tue",177,1,999,1,"failure",-1.8,93.369,-34.8,0.655,5008.7,"yes",2010
